Temperature (K),Resistance
1.4091974833177199,1785.9760625000004
1.2935195604035175,1810.2965588914549
1.0001463067329657,1889.8840566037738
0.7908316259899947,1973.2214847161574
0.6214105692712442,2072.168025210084
0.4798038149950169,2196.216936416185
0.3667719594390644,2346.9059285714284
0.30617072407089096,2461.6616607773854
0.2555483939777537,2588.4991666666665
0.19850122199938375,2789.3620377358493
0.15685459761264403,3006.4716393442627
0.12588252264871355,3240.73182048498
0.09657200326377874,3570.8006315789476
0.07471779497296144,3934.810821256039
0.05564913100241275,4429.655637860082
0.046975856024822696,4761.413206349207
0.040261569189810525,5099.1002958579875
0.03512399769924255,5429.234347826087
0.030016589435292663,5847.748443579767
0.024877902899443444,6403.352647058825
0.020162251099574657,7098.174074074074
0.016627564823327567,7808.476460767947
0.013214439862751741,8769.299746031746
